raw_phrases,mapped_labels,count
thermal hotspots,smoke plumes,3
thermal hotspots,firetrucks,2
navigable roads roads road surfaces,emergency personnel,2
ambulance,industrial pipe,2
navigable roads roads road surfaces,industrial pipe,2
tree trunks industrial tanks,emergency personnel,2
tree trunks industrial tanks,industrial tank,2
tree trunks industrial tanks industrial pipes,damaged buildings,2
tree trunks industrial tanks industrial pipes,fire,2
buildings,human,2
navigable roads roads road surfaces,tree trunks industrial tanks industrial pipes,2
tree trunks industrial tanks industrial pipes,firetrucks,2
##s ambulances,tree trunks,2
##s ambulances,navigable road,2
buildings,tree trunks,2
buildings,tree trunks industrial tanks industrial pipes,2
cones,emergency personnel,2
tree trunks industrial tanks industrial pipes,navigable roads roads road surfaces,2
cones,fire,2
tree trunks,smoke plumes,2
thermal hotspots ambulances,ambulances,2
ambulance,fire,2
ambulance,cones,2
ambulance,tree trunks,2
ambulance,fences,2
thermal hotspots,fences,2
buildings,damaged buildings,2
smoke plumes,tree trunks,2
thermal hotspotss,ambulances,2
smoke plumes,smoke plumes,2
thermal hotspotss ambulances,ambulances,2
smoke plumes,cones,2
all instances fire,tree trunks industrial tanks industrial pipes,2
all instances fire,industrial pipe,2
tree trunks,damaged buildings,2
all instances fire,emergency personnel,2
ambulance,firetrucks,2
smoke plumes,human,2
ambulance,thermal hotspots,2
thermal hotspots,industrial pipe,2
firetruckss,cones,2
humans emergency personnel,hazard tape,2
fences,fire,2
industrial pipes,navigable roads roads road surfaces,2
fences,thermal hotspots,2
fire,cones,2
fire,fences,2
fire,industrial pipe,2
humans emergency personnel,tree trunks,2
humans emergency personnel,navigable roads roads road surfaces,2
humans emergency personnel,navigable road,2
firetr,fire,2
humans emergency personnel,firetrucks,2
humans emergency personnel,damaged buildings,2
humans,smoke plumes,2
firetrucks ambulances,ambulances,2
firetrucks ambulances,cones,2
firetrucks ambulances,fences,2
humans,damaged buildings,2
hazard tape,industrial tank,2
hazard tape,emergency personnel,2
firetruckss,tree trunks,2
firetruckss,thermal hotspots,2
firetrucks ambulances,tree trunks industrial tanks industrial pipes,2
firetruckss,industrial pipe,2
firetruckss,firetrucks,2
firetruckss,fire,2
firetruckss,fences,2
industrial pipes,thermal hotspots,2
navigable roads roads,cones,2
industrial tanks industrial,emergency personnel,2
industrial tanks industrial,industrial tank,2
industrial tanks,navigable roads roads road surfaces,2
emergency personnel,cones,2
cones,navigable road,2
cones,smoke plumes,2
emergency personnel,damaged buildings,2
navigable roads roads road surfaces,fire,1
all instances fire,navigable roads roads road surfaces,1
thermal hotspotss ambulances,tree trunks,1
all instances fire,firetrucks,1
all instances fire,fire,1
navigable roads roads road surfaces,damaged buildings,1
firetrucks ambulance,human,1
all instances fire,damaged buildings,1
firetrucks ambulances,fire,1
thermal hotspotss ambulances,navigable road,1
smoke plumes,navigable road,1
firetrucks ambulances,navigable roads roads road surfaces,1
all instances of fire,fire,1
hazard tape,hazard tape,1
navigable roads roads,smoke plumes,1
all instances,damaged buildings,1
buildings,navigable roads roads road surfaces,1
tree trunks industrial tanks,hazard tape,1
industrial tanks industrial,hazard tape,1
firetruckss,smoke plumes,1
cones,damaged buildings,1
firetruckss,human,1
industrial tanks thermal hotspots,emergency personnel,1
industrial tanks thermal hotspots,fire,1
industrial tanks thermal hotspots,industrial tank,1
all instances of fire,emergency personnel,1
navigable roads roads road surfaces,firetrucks,1
all instances of fire,industrial tank,1
buildings,fire,1
smoke plumes,industrial pipe,1
industrial pipes,smoke plumes,1
fences,damaged buildings,1
buildings,cones,1
buildings,ambulances,1
smoke plumes,firetrucks,1
buildings,fences,1
smoke plumes,fences,1
smoke plumes,emergency personnel,1
emergency personnel,smoke plumes,1
ambulance,smoke plumes,1
firetr,ambulances,1
navigable roads roads road surfaces,navigable roads roads road surfaces,1
fences,smoke plumes,1
industrial tanks thermal hotspots,thermal hotspots,1
ambulance,human,1
firetrucks ambulance,ambulances,1
thermal hotspots ambulances,navigable road,1
thermal hotspots ambulances,tree trunks,1
firetrucks ambulance,emergency personnel,1
ambulance,emergency personnel,1
firetrucks ambulance,fire,1
firetrucks ambulance,firetrucks,1
thermal hotspotss,navigable road,1
all instances of fire,thermal hotspots,1
thermal hotspotss,tree trunks,1
firetruckss,emergency personnel,1
